,label,lentitle,wctitle,punctitle,digittitle,capitaltitle,startitle,uppertitle3,uppertitle4,r_e,r_h,r_m,f_e,f_h,f_m
1698,0,71,10,1,70,64,0,0,0,0,1,1,1,0,1
1699,1,38,8,0,38,31,0,0,0,0,0,3,1,0,1
1700,0,66,11,2,66,53,0,1,1,1,1,1,1,0,4
1701,1,53,12,1,53,49,0,0,0,1,1,2,2,0,3
1702,1,80,12,0,80,77,0,0,0,0,4,1,2,0,2
1703,0,49,8,0,49,40,0,0,0,1,0,1,4,0,0
1704,0,112,19,8,112,71,0,1,1,2,1,1,6,0,3
1705,1,68,11,0,68,63,0,0,0,1,1,5,0,0,0
1706,1,65,11,2,65,61,0,0,0,1,3,1,1,0,1
1707,1,84,15,7,84,82,0,0,0,1,0,7,3,0,3
1708,0,51,10,0,49,48,0,0,0,0,0,1,5,0,1
1709,0,66,10,1,66,62,1,0,0,0,0,2,3,0,1
1710,1,50,8,2,50,47,0,0,0,1,0,2,1,0,1
1711,0,35,8,1,34,30,0,0,0,1,1,0,0,0,4
1712,1,50,8,1,50,41,0,0,0,2,0,1,1,1,1
1713,1,70,11,1,70,46,0,1,1,1,0,3,0,2,3
1714,1,78,12,4,78,73,0,0,0,0,0,3,2,0,2
1715,1,34,5,1,34,31,0,0,0,2,0,2,0,0,0
1716,1,75,13,3,75,62,0,0,0,1,1,3,3,0,1
1717,1,78,11,3,78,76,0,0,0,2,1,2,2,0,0
1718,0,117,18,1,117,102,0,0,0,4,1,3,4,0,4
1719,1,81,11,1,81,79,0,0,0,1,0,2,1,1,1
1720,0,70,11,2,66,62,0,0,0,1,1,1,2,1,3
1721,1,104,15,3,104,97,0,0,0,2,0,0,2,1,4
1722,1,60,9,0,60,58,0,0,0,0,1,2,1,0,1
1723,0,75,12,3,75,66,0,0,0,1,0,0,5,0,2
1724,1,68,14,1,68,65,0,0,0,5,0,2,2,1,1
1725,0,54,10,0,54,47,0,0,0,0,0,1,1,1,5
1726,0,59,10,2,57,51,0,0,0,0,0,0,0,0,5
1727,0,110,21,2,110,93,0,0,0,1,0,3,5,2,5
1728,0,75,13,1,75,66,0,0,0,0,1,0,2,0,8
1729,0,43,8,1,43,38,0,0,0,0,0,2,1,0,1
1730,1,63,10,2,63,60,0,0,0,3,1,1,1,0,1
1731,0,69,12,1,69,60,0,0,0,1,0,1,1,5,3
1732,0,88,16,3,88,84,0,0,0,0,0,1,4,2,6
1733,1,68,14,2,68,61,0,0,0,1,1,0,6,0,3
1734,1,39,8,1,39,35,0,0,0,1,2,1,0,0,2
1735,1,64,12,2,64,61,0,0,0,2,0,5,3,0,1
1736,0,104,18,3,104,84,0,0,0,2,1,3,1,1,3
1737,0,115,16,4,111,100,0,0,0,2,0,0,7,1,4
1738,0,69,10,0,69,68,0,0,0,0,0,1,2,1,4
1739,1,64,13,1,64,52,0,0,0,2,1,2,4,0,3
1740,0,67,11,2,65,59,0,0,0,0,1,0,1,0,5
1741,1,73,11,1,73,70,0,0,0,2,2,1,2,0,0
1742,1,47,7,1,44,44,0,0,0,1,0,2,1,0,0
1743,1,53,10,0,53,50,0,0,0,2,1,1,2,0,1
1744,1,66,10,2,66,62,0,0,0,0,0,2,3,0,0
1745,1,48,10,0,48,39,0,0,0,3,2,0,1,0,3
1746,1,67,12,5,67,64,0,0,0,1,2,1,2,0,1
1747,1,43,8,2,42,42,0,0,0,1,0,2,1,1,0
1748,0,73,13,2,73,60,0,0,0,0,0,0,5,1,4
1749,1,42,8,1,42,36,0,0,0,2,0,1,2,0,1
1750,0,94,16,1,94,82,0,0,0,1,2,3,5,0,1
1751,1,55,10,0,55,53,0,0,0,1,2,2,0,1,1
