,user_id,category_code,percentage
0,1515915625353230683,electronics,0.9230769230769231
1,1515915625353230683,computers,0.07692307692307693
2,1515915625353234047,electronics,1.0
3,1515915625353286099,computers,1.0
4,1515915625353294441,electronics,0.7272727272727273
5,1515915625353294441,computers,0.2
6,1515915625353294441,stationery,0.05454545454545454
7,1515915625353294441,construction,0.01818181818181818
8,1515915625353411684,stationery,1.0
9,1515915625353416040,computers,1.0
10,1515915625353496458,electronics,0.9310344827586207
11,1515915625353496458,computers,0.06896551724137931
12,1515915625353514897,appliances,1.0
13,1515915625353534622,electronics,1.0
14,1515915625353561691,computers,1.0
15,1515915625353621544,computers,1.0
16,1515915625353706476,appliances,1.0
17,1515915625353900095,computers,0.775
18,1515915625353900095,electronics,0.225
19,1515915625353946724,computers,1.0
20,1515915625354061413,computers,1.0
21,1515915625354145851,computers,1.0
22,1515915625354176736,computers,1.0
23,1515915625354227904,electronics,0.6111111111111112
24,1515915625354227904,stationery,0.3888888888888889
25,1515915625354399528,computers,1.0
26,1515915625354561351,stationery,1.0
27,1515915625354857951,construction,1.0
28,1515915625355179497,electronics,1.0
29,1515915625355805313,appliances,1.0
30,1515915625356175149,computers,1.0
31,1515915625356207586,computers,1.0
32,1515915625356236274,computers,1.0
33,1515915625357132768,computers,1.0
34,1515915625357619595,electronics,1.0
35,1515915625357905325,electronics,1.0
36,1515915625358008624,computers,1.0
37,1515915625358666491,electronics,0.6666666666666666
38,1515915625358666491,computers,0.3333333333333333
39,1515915625359368343,auto,0.625
40,1515915625359368343,electronics,0.25
41,1515915625359368343,computers,0.125
42,1515915625359453928,appliances,0.6363636363636364
43,1515915625359453928,computers,0.18181818181818182
44,1515915625359453928,electronics,0.18181818181818182
45,1515915625359616242,construction,0.6842105263157895
46,1515915625359616242,electronics,0.3157894736842105
47,1515915625360113547,computers,1.0
48,1515915625360401970,construction,0.6666666666666666
49,1515915625360401970,electronics,0.3333333333333333
50,1515915625360775587,computers,1.0
51,1515915625360924831,electronics,1.0
52,1515915625361232363,computers,1.0
53,1515915625362094991,electronics,1.0
54,1515915625362134849,computers,1.0
55,1515915625363053094,construction,0.8461538461538461
56,1515915625363053094,auto,0.15384615384615385
57,1515915625363419728,computers,1.0
58,1515915625363789844,computers,1.0
59,1515915625363819606,electronics,1.0
